"authorid","pubid","cites","cites_cleaned","X2018","X2017","X2016","X2015","X2014","X2013","X2012","X2011","X2010","X2009","X2008","X2007","X2006","X2005","X2004","X2003","X2002"
"https://scholar.google.com/scholar?cites=13870134162805926807&as_sdt=2005&sciodt=0,5&hl=en","linkId",8,8,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"https://scholar.google.com/scholar?cites=11470282975233976284&as_sdt=2005&sciodt=0,5&hl=en","linkId",28,28,0,4,3,4,3,2,6,3,3,0,NA,NA,NA,NA,NA,NA,NA
"https://scholar.google.com/scholar?hl=en&as_sdt=0%2C5&q=MOFI+ontologies&btnG=","linkId",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"https://scholar.google.lu/scholar?cites=10312355415569183993&as_sdt=2005&sciodt=0,5&hl=de","linkId",13,13,3,3,2,3,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"https://scholar.google.com/scholar?cites=4662847585317323351&as_sdt=2005&sciodt=0,5&hl=en","linkId",3,3,0,0,1,1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"https://scholar.google.lu/scholar?cites=1717017940557181356&as_sdt=2005&sciodt=0,5&hl=de","linkId",12,10,1,1,1,6,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"https://scholar.google.lu/scholar?cites=16826798489058392490&as_sdt=2005&sciodt=0,5&hl=de","linkId",6,6,0,1,0,3,0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"https://scholar.google.lu/scholar?cites=17648070861597649050&as_sdt=2005&sciodt=0,5&hl=de","linkId",11,11,1,1,2,6,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"https://scholar.google.lu/scholar?cites=16547002461366455645&as_sdt=2005&sciodt=0,5&hl=de","linkId",3,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"https://scholar.google.com/scholar?cites=4771293102308507385&as_sdt=2005&sciodt=0,5&hl=en","linkId",7,7,1,1,1,0,1,1,0,1,0,0,1,NA,NA,NA,NA,NA,NA
"https://scholar.google.lu/scholar?cites=2874178121166488627&as_sdt=2005&sciodt=0,5&hl=de","linkId",36,36,1,4,6,8,6,9,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"https://scholar.google.lu/scholar?cites=16011733143187269961&as_sdt=2005&sciodt=0,5&hl=de","linkId",9,9,1,3,0,0,0,4,1,0,0,0,0,0,0,0,NA,NA,NA
"https://scholar.google.lu/scholar?cites=17679120897574658673&as_sdt=2005&sciodt=0,5&hl=de","linkId",15,15,2,2,4,4,2,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"https://scholar.google.lu/scholar?hl=de&as_sdt=0%2C5&q=Security+ontology+for+mobile+agents+protection+&btnG=","linkId",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"https://scholar.google.lu/scholar?cites=624873834138443333&as_sdt=2005&sciodt=0,5&hl=de","linkId",12,12,1,0,0,0,2,0,3,1,5,NA,NA,NA,NA,NA,NA,NA,NA
