url,title,author,journal,number,cites,year,authorid,cid,pubid,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002
"https://scholar.google.lu/scholar?cites=1096492177018980050&as_sdt=2005&sciodt=0,5&hl=de",SemSOS: Semantic sensor observation service,"CA Henson, JK Pschorr, AP Sheth, K Thirunarayan",Collaborative Technologies and Systems,2009. CTS'09. Internationalë__Ñ_,231,2009,2T3H4ekAAAAJ,1.10E+18,GFxP56DSvIMC,12,19,24,24,33,29,39,23,15,9,,,,,,,
"https://scholar.google.lu/scholar?cites=13957763801149947421&as_sdt=2005&sciodt=0,5&hl=de",A comprehensive ontology for knowledge representation in the internet of things,"W Wang, S De, R Toenjes, E Reetz, K Moessner","Trust, Security and Privacy in Computing and Communications (TrustCom)",2012ë__Ñ_,115,2012,YPHIHq0AAAAJ,1.40E+19,9yKSN-GCB0IC,14,30,23,18,19,9,2,,,,,,,,,,
"https://scholar.google.lu/scholar?cites=1381619717607210263&as_sdt=2005&sciodt=0,5&hl=de",Interoperability for smart appliances in the iot world,"L Daniele, M Solanki, F den Hartog, J Roes",International Semantic Web Conference,21-29,10,2016,nY_OtxwAAAAJ,1.38E+18,Zph67rFs4hoC,2,6,,,,,,,,,,,,,,,
"https://scholar.google.lu/scholar?cites=1634453741434616540&as_sdt=2005&sciodt=0,5&hl=de",Introducing Thing Descriptions and Interactions: An Ontology for the Web of Things.,"V Charpenay, S Käbisch, H Kosch",SR+ SWIT@ ISWC,55-66,9,2016,WnWkNTsAAAAJ,1.63E+18,QD3KBmkZPeQC,6,3,,,,,,,,,,,,,,,
"https://scholar.google.lu/scholar?cites=17345230064162518190&as_sdt=2005&sciodt=0,5&hl=de",An ontology design pattern for iot device tagging systems,"V Charpenay, S Käbisch, D Anicic, H Kosch",Internet of Things (IOT),"2015 5th International Conference on the, 138-145",11,2015,5flqRd8AAAAJ,1.73E+19,hFOr9nPyWt4C,4,3,4,,,,,,,,,,,,,,
"https://scholar.google.lu/scholar?cites=15866831388735879881&as_sdt=2005&sciodt=0,5&hl=de",The ssn ontology of the w3c semantic sensor network incubator group,"M Compton, P Barnaghi, L Bermudez, R García-Castro, O Corcho, S Cox","Web Semantics: Science, Services and Agents on the World Wide Web",,981,2012,Lq5D3Q0AAAAJ,1.59E+19,2osOgNQ5qMEC,119,218,208,174,156,63,36,,,,,,,,,,
"https://scholar.google.lu/scholar?cites=1884919479099409283&as_sdt=2005&sciodt=0,5&hl=de","SOSA: A lightweight ontology for sensors, observations, samples, and actuators","K Janowicz, A Haller, SJD Cox, D Le Phuoc, M Lefrancois",Journal of Web Semantics,,5,2018,6B2Z9vAAAAAJ,1.88E+18,gVv57TyPmFsC,5,,,,,,,,,,,,,,,,
"https://scholar.google.lu/scholar?cites=16686217730712742175&as_sdt=2005&sciodt=0,5&hl=de",Semantic Discovery in the Web of Things,"F Serena, M Poveda-Villalón, R García-Castro",International Conference on Web Engineering,19-31,1,2017,stOA74sAAAAJ,1.67E+19,l7t_Zn2s7bgC,1,,,,,,,,,,,,,,,,
"https://scholar.google.lu/scholar?cites=17781776126695983191&as_sdt=2005&sciodt=0,5&hl=de","IoT-O, a Core-Domain IoT Ontology to Represent Connected Devices Networks","N Seydoux, K Drira, N Hernandez, T Monteil",Knowledge Engineering and Knowledge Management:,20th Internationalë__Ñ_,19,2016,vO14BoYAAAAJ,1.78E+19,2osOgNQ5qMEC,10,8,,,,,,,,,,,,,,,
"https://scholar.google.lu/scholar?cites=10343937242213106980&as_sdt=2005&sciodt=0,5&hl=de",An Internet of Things ontology for earthquake emergency evaluation and response,"L Spalazzi, G Taccari, A Bernardini",Collaboration technologies and systems (CTS),2014 International conferenceë__Ñ_,22,2014,fEZU6NwAAAAJ,1.03E+19,1sJd4Hv_s6UC,5,8,5,2,2,,,,,,,,,,,,
"https://scholar.google.lu/scholar?cites=17132034222244543311&as_sdt=2005&sciodt=0,5&hl=de","An iot-ontology for the representation of interconnected, clustered and aligned smart entities","K Kotis, A Katasonov","Technical report, VTT Technical Research Center, Finland VTT Technicalë__Ñ_",,9,2012,x4T5OfIAAAAJ,1.71E+19,ns9cj8rnVeAC,2,3,2,0,2,,,,,,,,,,,,
"https://scholar.google.lu/scholar?cites=3552885538746186416&as_sdt=2005&sciodt=0,5&hl=de",Dynamic ontology-based sensor binding,"P Hirmer, M Wieland, U Breitenbücher, B Mitschang",East European Conference on Advances in Databases and Information Systemsë__Ñ_,,11,2016,RtpjiGkAAAAJ,3.55E+18,W7OEmFMy1HYC,8,3,,,,,,,,,,,,,,,
"https://scholar.google.lu/scholar?cites=16430630257532198644&as_sdt=2005&sciodt=0,5&hl=de","Towards a Semantic Web of Things: A Hybrid Semantic Annotation, Extraction, and Reasoning Framework for Cyber-Physical System","JY Wu Z, Xu Y, Yang Y, Zhang C, Zhu X",Sensors,,12,2017,vpHFsV8AAAAJ,1.64E+19,u5HHmVD_uO8C,9,3,,,,,,,,,,,,,,,
"https://scholar.google.lu/scholar?cites=18044997799858740058&as_sdt=2005&sciodt=0,5&hl=de",Guidelines for Linked Data generation and publication: An example in building energy consumption,"F Radulovic, M Poveda-Villalón, D Vila-Suero, V Rodríguez-Doncel",Automation in Construction 57,178-187,21,2015,Ye1p4W4AAAAJ,1.80E+19,ufrVoPGSRksC,4,6,7,4,,,,,,,,,,,,,
"https://scholar.google.lu/scholar?cites=9165842632857837359&as_sdt=2005&sciodt=0,5&hl=de",Demonstration: Web-based Visualisation and Monitoring of Smart Meters using CQELS,"M Kolchin, D Mouromtsev, S Arustamov",CEUR-WS Workshops,"1401, 109-112",4,2014,42uM92QAAAAJ,9.17E+18,4DMP91E08xMC,1,0,2,,,,,,,,,,,,,,
,Machine learning in the Internet of things: A semantic-enhanced approach,"M Ruta, F Scioscia, G Loseto, A Pinto, E Di Sciascio",Semantic Web,01-Feb,0,NA,xxBeKlIAAAAJ,NA,OcBU2YAGkTUC,,,,,,,,,,,,,,,,,
