LOV4IoTDumpId,LOV4IoTTableId,ScholarAuthorId,ScholarPaperId,VocabularyIRI,Filename,Domain,Devices,Tags
CobraSoupa2003,"Chen, Finin, Joshi",p5oWQ0AAAAAJ,TesyEGJKHF4C,http://pervasive.semanticweb.org/ont/2004/06/event,SOUPA/event.owl,context;event,
CobraSoupa2003,"Chen, Finin, Joshi",p5oWQ0AAAAAJ,TesyEGJKHF4C,http://pervasive.semanticweb.org/ont/2004/06/geo-measurement,SOUPA/geo-measurement.owl,context;location;measurement,
CobraSoupa2003,"Chen, Finin, Joshi",p5oWQ0AAAAAJ,TesyEGJKHF4C,http://pervasive.semanticweb.org/ont/2004/06/img-capture,SOUPA/img-capture.owl,context,
CobraSoupa2003,"Chen, Finin, Joshi",p5oWQ0AAAAAJ,TesyEGJKHF4C,http://pervasive.semanticweb.org/ont/2004/06/knowledge,SOUPA/knowledge.owl,context,
CobraSoupa2003,"Chen, Finin, Joshi",p5oWQ0AAAAAJ,TesyEGJKHF4C,http://pervasive.semanticweb.org/ont/2004/06/location,SOUPA/location.owl,context;location,
CobraSoupa2003,"Chen, Finin, Joshi",p5oWQ0AAAAAJ,TesyEGJKHF4C,http://pervasive.semanticweb.org/ont/2004/06/meeting,SOUPA/meeting.owl,context;activity,
CobraSoupa2003,"Chen, Finin, Joshi",p5oWQ0AAAAAJ,TesyEGJKHF4C,http://pervasive.semanticweb.org/ont/2004/06/person,SOUPA/person.owl,context;user,
CobraSoupa2003,"Chen, Finin, Joshi",p5oWQ0AAAAAJ,TesyEGJKHF4C,http://pervasive.semanticweb.org/ont/2004/06/policy,SOUPA/policy.owl,context;policy,
CobraSoupa2003,"Chen, Finin, Joshi",p5oWQ0AAAAAJ,TesyEGJKHF4C,http://pervasive.semanticweb.org/ont/2004/06/rcc,SOUPA/rcc.owl,context,
CobraSoupa2003,"Chen, Finin, Joshi",p5oWQ0AAAAAJ,TesyEGJKHF4C,http://pervasive.semanticweb.org/ont/2004/06/schedule,SOUPA/schedule.owl,context;activity,
CobraSoupa2003,"Chen, Finin, Joshi",p5oWQ0AAAAAJ,TesyEGJKHF4C,http://pervasive.semanticweb.org/ont/2004/06/space,SOUPA/space.owl,context;location,
CobraSoupa2003,"Chen, Finin, Joshi",p5oWQ0AAAAAJ,TesyEGJKHF4C,http://pervasive.semanticweb.org/ont/2004/06/time,SOUPA/time.owl,context;time,
CobraSoupa2003,"Chen, Finin, Joshi",p5oWQ0AAAAAJ,mgoTDWlsYNUC,http://cobra.umbc.edu/ont/2004/05/ebiquity-actions,CoBrA/ebiquity-actions.owl,context;activity,
CobraSoupa2003,"Chen, Finin, Joshi",p5oWQ0AAAAAJ,mgoTDWlsYNUC,http://cobra.umbc.edu/ont/2004/05/ebiquity-geo,CoBrA/ebiquity-geo.owl,context;location,
CobraSoupa2003,"Chen, Finin, Joshi",p5oWQ0AAAAAJ,mgoTDWlsYNUC,http://cobra.umbc.edu/ont/2004/05/ebiquity-meetings,CoBrA/ebiquity-meetings.owl,context;activity,
Li2017Robot,Li et al. - SWARMs,"https://scholar.google.com/scholar?cites=13870134162805926807&as_sdt=2005&sciodt=0,5&hl=en",linkId,http://www.pr-owl.org/pr-owl.owl,ChemicalPollutionMonitoring.owl,robotic;environment,
Balaji2016,Balaji et al.,F0JrXQIAAAAJ,N5tVd3kTz84C,https://brickschema.org/schema/1.0.3/BrickFrame,BrickFrame.ttl,smart home,
Hosseinzadeh2016,"Hosseinzadeh, Natalia Diaz et al.",OCO9jOsAAAAJ,fPk4N6BV_jEC,http://www.semanticweb.org/shohreh/ontologies/2013/6/untitled-ontology-7,SecurityOntology.owl,security,
WangTurner2009,"Wang, Turner","https://scholar.google.com/scholar?cites=11470282975233976284&as_sdt=2005&sciodt=0,5&hl=en",linkId,http://www.cs.stir.ac.uk/schemas/call_control.owl,HomeCareSystem/call_control.owl,smart home;call,
WangTurner2009,"Wang, Turner","https://scholar.google.com/scholar?cites=11470282975233976284&as_sdt=2005&sciodt=0,5&hl=en",linkId,http://www.cs.stir.ac.uk/schemas/genpol.owl,HomeCareSystem/genpol.owl,smart home;policy,
WangTurner2009,"Wang, Turner","https://scholar.google.com/scholar?cites=11470282975233976284&as_sdt=2005&sciodt=0,5&hl=en",linkId,http://www.cs.stir.ac.uk/schemas/home_care.owl,HomeCareSystem/home_care.owl,smart home;health;user;activity,
